country,province,region_1,variety,price,year,taster_name,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,is_blend
5.0,11.0,98.0,12.0,25.0,2014.0,3.0,1,0,0,0,0,0,1
9.0,24.0,55.0,24.0,25.0,2009.0,5.0,0,0,0,0,0,0,0
7.0,16.0,94.0,9.0,50.0,2008.0,8.0,0,0,0,0,0,0,1
1.0,9.0,75.0,6.0,44.0,2012.0,9.0,0,0,0,0,0,1,0
1.0,1.0,99.0,30.0,15.0,2004.0,11.0,1,0,0,0,0,0,0
7.0,22.0,29.0,27.0,34.0,2014.0,8.0,1,0,0,0,0,0,0
11.0,29.0,46.0,34.0,119.0,2009.0,5.0,0,0,0,0,0,0,0
1.0,9.0,100.0,52.0,32.0,2015.0,9.0,1,0,0,0,1,0,0
7.0,31.0,101.0,55.0,15.0,2014.0,8.0,1,1,0,0,0,0,0
7.0,17.0,44.0,56.0,25.0,2009.0,0.0,0,0,0,0,1,0,0
5.0,11.0,102.0,12.0,25.0,2011.0,3.0,1,0,0,0,0,0,1
1.0,9.0,55.0,30.0,50.0,2013.0,12.0,0,0,0,0,0,0,0
7.0,40.0,103.0,57.0,90.0,2007.0,0.0,0,1,0,0,0,0,0
5.0,8.0,104.0,8.0,25.0,2013.0,3.0,0,0,0,0,0,0,0
1.0,9.0,32.0,8.0,25.0,2013.0,12.0,0,0,0,0,0,0,0
1.0,9.0,53.0,51.0,26.0,2010.0,12.0,0,0,0,0,0,0,0
1.0,9.0,105.0,58.0,75.0,2014.0,9.0,1,0,0,0,0,1,0
1.0,9.0,34.0,8.0,48.0,2014.0,9.0,0,0,0,0,0,0,0
8.0,19.0,106.0,59.0,18.0,2007.0,6.0,0,0,0,0,0,0,0
5.0,32.0,63.0,13.0,14.0,2011.0,3.0,0,0,0,0,0,0,0
5.0,11.0,107.0,12.0,15.0,2010.0,3.0,1,0,0,0,0,0,1
1.0,1.0,56.0,30.0,34.0,2013.0,1.0,1,0,0,0,0,0,0
7.0,22.0,29.0,27.0,210.0,2005.0,0.0,0,0,0,0,0,0,0
5.0,11.0,98.0,12.0,16.0,2012.0,3.0,0,0,0,0,0,0,1
6.0,7.0,4.0,28.0,8.0,2007.0,6.0,0,0,0,0,0,1,0
1.0,15.0,108.0,6.0,60.0,2010.0,11.0,1,0,0,0,0,0,0
14.0,50.0,55.0,60.0,20.0,2016.0,16.0,0,0,0,0,0,0,0
1.0,25.0,109.0,18.0,9.0,2011.0,13.0,0,0,0,0,0,1,1
8.0,14.0,13.0,9.0,44.0,2009.0,6.0,1,0,0,0,0,0,1
6.0,27.0,110.0,1.0,17.0,2007.0,6.0,0,0,0,0,0,0,0
7.0,22.0,42.0,27.0,64.0,2011.0,8.0,1,0,0,0,0,0,0
11.0,29.0,111.0,34.0,70.0,2006.0,5.0,0,0,0,0,0,0,0
5.0,8.0,70.0,8.0,32.0,2014.0,3.0,0,0,0,0,0,0,0
1.0,1.0,1.0,30.0,12.0,2012.0,1.0,0,0,0,0,0,0,0
8.0,14.0,21.0,18.0,30.0,2011.0,6.0,0,1,0,0,0,0,1
6.0,7.0,4.0,25.0,50.0,2007.0,6.0,1,0,0,0,0,0,0
11.0,29.0,112.0,28.0,15.0,2004.0,5.0,1,0,0,0,0,0,0
1.0,15.0,14.0,6.0,19.0,2013.0,11.0,0,0,0,0,0,0,0
5.0,8.0,113.0,6.0,25.0,2010.0,3.0,0,0,0,0,0,0,0
1.0,9.0,78.0,6.0,36.0,2014.0,9.0,0,0,0,0,1,0,0
1.0,9.0,55.0,26.0,24.0,2009.0,0.0,0,1,0,0,0,0,0
3.0,51.0,55.0,61.0,10.0,2015.0,3.0,0,0,0,0,0,0,0
7.0,17.0,44.0,9.0,80.0,2005.0,0.0,0,0,0,0,0,0,1
15.0,52.0,55.0,9.0,20.0,2009.0,2.0,1,0,0,0,1,0,1
5.0,8.0,114.0,8.0,66.0,2014.0,3.0,0,0,0,0,0,0,0
5.0,28.0,45.0,33.0,55.0,2011.0,3.0,0,0,0,0,0,0,1
10.0,53.0,55.0,62.0,22.0,2007.0,6.0,1,0,0,0,1,0,0
14.0,54.0,55.0,60.0,13.0,2009.0,3.0,0,0,0,0,0,0,0
3.0,33.0,55.0,3.0,13.0,2011.0,3.0,1,0,0,0,0,0,0
1.0,15.0,115.0,63.0,30.0,2013.0,11.0,0,0,0,0,0,0,0
1.0,9.0,116.0,64.0,22.0,2006.0,12.0,0,0,0,0,0,0,0
5.0,32.0,117.0,65.0,12.0,2016.0,3.0,0,0,0,0,0,0,0
13.0,55.0,55.0,66.0,65.0,2004.0,4.0,1,0,0,0,0,0,1
